,Unnamed: 0,trend_name,top_keywords,sentiment,volume,Top_Hastags,trend_description
0,0,Ipl Ipl 2025,"['ipl', 'ipl 2025', 'rohit', '2025', 'kkr']",Positive,78,"['#ipl', '#ipl2025', '#iplt20', '#kkr', '#odi2025']","Get ready for IPL IPL 2025! 🔥  'Rohit' and 'KKR' are trending, igniting the excitement for another electrifying season!  Join the #IPL2025 buzz – it's the biggest cricket party of the year!"
1,1,Bharat Anant,"['bharat', 'anant', 'akhand', 'akhand bharat', 'ambani']",Positive,75,"['#bharat', '#india', '#mumbairoad', '#ambanis', '#gujarat']","Bharat Anant: A vibrant, trending celebration of India's boundless spirit!  'Akhand' and 'Akhand Bharat' sentiments are uniting millions online, showcasing a powerful, positive image of  'Ambani' and a thriving nation.  Join the #BharatAnant movement!"
2,2,Email Website,"['email', 'website', 'create', 'solutions', 'wave']",Positive,63,"['#email', '#website', '#web', '#internet', '#app']","Riding the Email Website wave!  Create stunning, email-based website solutions – it's the hottest trend on social media.  ['email', 'website', 'create', 'solutions']"
3,3,Fashion Fashion Week,"['fashion', 'fashion week', 'week', 'lakme', 'lakme fashion']",Positive,55,"['#fashion', '#fashionforward', '#fashiontrends', '#lakmefashionweek', '#fashionshow']","""Fashion Fashion Week"" is the hottest new trend!  It's all about double the style, double the fun, and seriously #lakme fashion!  This week, we're seeing 'fashion', 'fashion week', and 'lakme fashion' everywhere –  join the excitement!"
4,4,Zoomed Cleavage Incredible Loud,"['zoomed cleavage', 'incredible loud', 'slip', 'sign next', 'slip pop']",Neutral,52,"['#ear', '#trend', '#laughs', '#follow', '#photo']","Zoomed Cleavage Incredible Loud (Z.C.I.L.) is the viral trend showcasing unexpected wardrobe malfunctions during video calls.  'Slip,' 'sign next,' 'slip pop' – the progression of increasingly dramatic reveals has taken social media by storm."
5,5,Ghibli Art,"['ghibli', 'art', 'style', 'image', 'ghibli style']",Positive,46,"['#art', '#ghibli', '#ghibliai', '#artwork', '#photo']","Embrace the enchanting world of 'Ghibli Art'! This trending style, brimming with whimsical imagery and a distinctly Ghibli feel, is captivating social media.  Its unique blend of charm and artistry is inspiring countless creators and fans alike."
6,6,Bill Amendment,"['bill', 'amendment', 'waqf', 'amendment bill', 'bill 2025']",Positive,41,"['#amendment', '#bill', '#congress', '#waqfamendmentbill', '#waqfamendment']","Going viral!  The ""Bill Amendment"" trend ([', 'bill', ', ', 'amendment', ', ', 'waqf', ', ', 'amendment bill', ', ', 'bill 2025']) is all about positive change!  Join the movement and share your inspiring amendments! #BillAmendment #PositiveChange #2025"
7,7,Github Repo Github,"['github repo', 'github', 'repo', 'javascript', 'library']",Neutral,35,"['#github', '#math', '#education', '#trending']","Trending now: ""Github Repo Github""!  It's all about sharing & reusing top-tier ['github', 'repo', ', 'github', ', 'repo', ', 'javascript', ', 'library'] projects.  Boost your coding with this popular social media phenomenon."
8,8,Episode Written,"['episode', 'written', '2025 written', 'written episode', 'april 2025']",Neutral,33,"['#post', '#aprilfoolsday', '#viralposts', '#trump', '#trend']","Episode Written: The 2025 trend taking social media by storm!  'Episode Written,' 'April 2025 Written,' and variations are popping up everywhere. What's the story behind this mysterious hashtag?"
9,9,Eid Celebrate,"['eid', 'celebrate', 'khan', 'eid party', 'party']",Positive,29,"['#eid', '#eidparty', '#eid2025', '#eidmubarak', '#trump']","Eid Celebrate is the hottest trend! 🎉  Join the joyous #EidParty, filled with #Khan family fun and incredible #Eid celebrations.  Share your festive moments using #EidCelebrate! ✨"
10,10,Sun Keep,"['sun', 'keep', 'yoga', 'protect', 'cool']",Positive,29,"['#yoga', '#sunprotection', '#follow', '#sunsafety', '#laugh']","Sun Keep:  It's the sun salutations, yoga, & cool protection trend taking over social media!  [, 's, u, n, ', ,,  , ', k, e, e, p, ', ,,  , ', y, o, g, a, ', ,,  , ', p, r, o, t, e, c, t, ', ,,  , ', c, o, o, l, ]  Embrace the sunshine safely & stylishly!"
11,11,Cagr Expect,"['cagr', 'expect', 'size', 'bn', 'reach']",Positive,27,"['#target', '#un', '#nse', '#ncdex', '#privatenbiot']","CAGR Expect:  It's the hottest new trend!  ['c', 'a', 'g', 'r', ',', ',', ',', 'e', 'x', 'p', 'e', 'c', 't', ',', ',', ',', 's', 'i', 'z', 'e', ',', ',', ',', 'b', 'n', ',', ',', ',', 'r', 'e', 'a', 'c', 'h', ']  are soaring!  Expect massive growth and reach your full potential. #CAGRExpect #GrowthMindset #TrendingNow"
12,12,Youtube Channel,"['youtube', 'channel', 'youtube channel', 'short', '059']",Positive,25,"['#channel', '#youtube', '#video', '#short', '#instagram']","Exploding on social media!  'YouTube Channel' is the new trend: short, sweet, and unforgettable videos under 059 seconds!  Join the fun; create your YouTube channel and share your world!"
13,13,Tariff China,"['tariff', 'china', 'import', 'trade', 'trump']",Neutral,24,"['#tariffs', '#tariff', '#china', '#trump', '#economy']",Tariff China:  A trending social media discussion analyzing the impact of Trump's tariffs on import trade with China.  #TariffChina #TradeWar #TrumpTariffs #ImportTrade
14,14,Minecraft Movie Minecraft,"['minecraft movie', 'minecraft', 'movie', 'theaters', 'april 2025']",Neutral,21,"['#minecraftmovie', '#minecraft', '#minecrftmovie', '#moviebuffair', '#moviebuffallindiarelease']",Minecraft Movie mania!  'Minecraft Movie' is sweeping social media. Get ready for 'Minecraft Movie' in theaters April 2025!
15,15,Furniture Link,"['furniture', 'link', 'home', 'collection', 'profile']",Positive,19,"['#house', '#furniture', '#door', '#clean', '#homedecor']",Furniture Link is trending!  Create your unique home collection profile and connect with the hottest furniture finds.  #FurnitureLink #HomeCollection #Profile
16,16,Govt Muslims,"['govt', 'muslims', 'waqf', 'wants use', 'govt wants']",Negative,17,"['#bjp', '#waqf', '#congress', '#news', '#india']","#GovtMuslims: A viral, negative trend exposing alleged government manipulation of Muslim communities.  Keywords like 'govt', 'Muslims', 'Waqf', 'wants use', 'govt wants' highlight accusations of misuse of power and resources, sparking outrage online."
17,17,Forest Nature,"['forest', 'nature', 'fruit', 'sugar', 'elanga']",Positive,17,"['#nature', '#fruits', '#forestwin', '#birds', '#elanga']","Escape the everyday with Forest Nature!  🌿 This trending wellness vibe blends the calming power of forests, the sweetness of fresh fruit, and the energizing touch of elanga – for a naturally sweet and revitalizing experience.  #ForestNature #FruitGoodness #ElangaEnergy"
18,18,Minecraft Movie,"['minecraft', 'movie', 'real', 'minecraft movie', 'real movie']",Neutral,17,"['#minecraftmovie', '#minecraft', '#minecraftwatch', '#minecraftanimation', '#minecraftbuilds']","The ""Minecraft Movie"" trend is exploding!  Millions are buzzing about the 'real Minecraft movie',  comparing fan theories and reactions to the actual 'Minecraft movie' release.  Is it truly a 'real Minecraft movie' experience?  Find out!"
19,19,Birthday Happy Birthday,"['birthday', 'happy birthday', 'happy', 'wishing', 'vibes']",Positive,16,"['#birthdaygirl', '#happybirthday', '#happybirthdayvikrantmassey', '#happybirthdayajaydevgn', '#happybirthdayajaydevgan']","It's the trend taking over social media!  'Birthday Happy Birthday' is all about spreading extra joy.  Double the birthday wishes, double the happiness!  Share the ['happy birthday',, 'happy',, 'wishing',, 'vibes'] and make someone's special day unforgettable."
20,20,Highway National,"['highway', 'national', 'national highway', 'nh', 'stretch']",Positive,15,"['#india', '#ashokleyland', '#cycling', '#solotrip', '#travel']","Hit the road with Highway National!  This trending #NationalHighway movement is all about embracing the open road, stretching your horizons, and experiencing the nation's beauty.  Join the #NHStretch and share your adventures!"
