,Date,Tweets,Likes,Views,Hastags,Keywords,topics,Sentiment_score,Sentiment_label
0,2025-04-05T04:21:45.000Z,"Saturday mornings are for sipping coffee, dreaming big, and enjoying the calm before the week's storm begins again.
#GoodMorning #GoodMorningXFriends #Trending #LCDLFAllStars #GoodBadUgly #englot #AyeshaKhan #LaCasaDeLosFamososCol2 #cofee #BeautyInBlackNetflix",0,0,"#GoodMorning, #GoodMorningXFriends, #Trending, #LCDLFAllStars, #GoodBadUgly, #englot, #AyeshaKhan, #LaCasaDeLosFamososCol2, #cofee, #BeautyInBlackNetflix","['Saturday', 'mornings', 'sip', 'coffee', 'dream', 'big', 'enjoy', 'calm', 'weeks', 'storm', 'begin']",1,0.6908,Positive
1,2025-04-05T04:16:09.000Z,"Malaika’s latest look is proof that animal print isn’t just surviving the trend cycle—it’s thriving

#MalaikaArora #Trending",0,0,"#MalaikaArora, #Trending","['Malaika', 'proof', 'animal', 'print', 'survive', 'cycle', 'thrive']",0,-0.2235,Negative
2,2025-04-05T04:10:00.000Z,"Online #radicalisation in #Malaysia is driven by digital penetration, ideological influences, and weak online policing. With over 97% internet access, #socialmedia has become a critical tool for #extremist recruitment: 
@SoumyaAwasthi17
 & Purushraj Patnaik",0,0,"#radicalisation, #Malaysia, #socialmedia, #extremist","['Online', 'drive', 'digital', 'penetration', 'ideological', 'influence', 'weak', 'online', 'police', '97', 'internet', 'access', 'become', 'critical', 'tool', 'recruitment', 'SoumyaAwasthi', '17', 'Purushraj', 'Patnaik']",-1,-0.6369,Negative
3,2025-04-05T04:00:06.000Z,"Not sure what to #stream or hit the #theatres for? We’ve got you covered with the latest #film & #OTT reviews, celebrity picks, and everything that’s #trending in the world of #cinema. 
Hit save, share with your binge buddy & let us know what you’re watching this weekend!",0,0,"#stream, #theatres, #film, #OTT, #trending, #cinema","['sure', 'hit', 'cover', 'review', 'celebrity', 'pick', 'everything', 'world', 'Hit', 'save', 'binge', 'buddy', 'weekend']",-1,0.5327,Positive
4,2025-04-05T03:57:07.000Z,"Anant Ambani's 140-km personal pilgrimage to Dwarkadhish Temple in Gujarat is a testament to devotion, resilience, and grace. TAKE A LOOK!

#AnantAmbani #Trending #DwarkadhishTemple #Gujarat | 
@anchoramitaw",0,0,"#AnantAmbani, #Trending, #DwarkadhishTemple, #Gujarat","['Anant', 'Ambanis', '140', 'km', 'personal', 'pilgrimage', 'Dwarkadhish', 'Temple', 'Gujarat', 'testament', 'devotion', 'resilience', 'grace', 'TAKE', 'LOOK', 'anchoramitaw']",0,0.7003,Positive
5,2025-04-05T03:53:11.000Z,"Remembering #DivyaBharti on her death anniversary. The actress tragically passed away at the age of 19 on April 5, 1993.

#Trending",0,0,"#DivyaBharti, #Trending","['Remembering', 'death', 'anniversary', 'actress', 'tragically', 'pass', 'away', 'age', '19', 'April', '5', '1993']",-1,-0.8225,Negative
6,2025-04-05T03:43:44.000Z,"Hu Ru Ru.. with friends #shorts #trending #viral #funny #comedy #lab... https://youtube.com/shorts/CC_QAW_vHhY?si=fq2iBa66BU9o9PXl… via 
@YouTube
Hey guys! Our shorts is live now. Don’t forget to watch, like, share and subscribe. 
Love,
R",0,0,"#shorts, #trending, #viral, #funny, #comedy, #lab","['Hu', 'Ru', 'friends', 'via', 'YouTube', 'Hey', 'short', 'forget', 'like', 'subscribe', 'Love', 'R']",0,0.9522,Positive
7,2025-04-05T03:34:05.000Z,"Supreme Court Rejects Plea to Ban Social Media for Children Under 13, Calls It a “Policy Matter”

#SupremeCourt #socialmedia #Youth",0,0,"#SupremeCourt, #socialmedia, #Youth","['Supreme', 'Court', 'Rejects', 'Plea', 'Ban', 'Social', 'Media', 'Children', '13', 'Calls', 'Policy', 'Matter']",-1,-0.4767,Negative
8,2025-04-05T03:33:14.000Z,"Kindly watch and follow e on #YouTube https://youtube.com/shorts/fPQLXOsij_A?si=VIqRGSULmXrC3ueF… 
@AngJanKranti
 @AnilYadavmedia1
 @BhagalpurIndex
 @BhagalpurJan
 @Kuundaan
 #trending #bhagalpur",0,0,"#YouTube, #trending, #bhagalpur","['Kindly', 'follow', 'e', 'AngJanKranti', 'AnilYadavmedia', '1', 'BhagalpurIndex', 'BhagalpurJan', 'Kuundaan']",0,0.4939,Positive
9,2025-04-05T02:48:24.000Z,"A friend is one of the nicest things you can have, and one of the best things you can be.

#trending #viral #humour #humor #funnyquotes #funny #jokes #quotes #laughs #funnyposts #instaquote #lifequotes #magicrajesh #gyaanbaba #hilarious #fun #lol",0,0,"#trending, #viral, #humour, #humor, #funnyquotes, #funny, #jokes, #quotes, #laughs, #funnyposts, #instaquote, #lifequotes, #magicrajesh, #gyaanbaba, #hilarious, #fun, #lol","['friend', 'one', 'nicest', 'things', 'best']",1,0.9844,Positive
10,2025-04-05T02:30:00.000Z,"Take a break, recharge, and come back ready to conquer..!!

#HappyWeekend #LearningCommunity #WeekendVibes  #WeekendMode #InstituteLife
#RestInPeace #Twitter #Trending",0,0,"#HappyWeekend, #LearningCommunity, #WeekendVibes, #WeekendMode, #InstituteLife, #RestInPeace, #Twitter, #Trending","['Take', 'break', 'recharge', 'come', 'ready', 'conquer']",1,0.3612,Positive
11,2025-04-05T02:30:00.000Z,"Can ChatGPT Create Fake Aadhaar Cards? 

Watch as 
@Naina_2892
 decodes the alarming trend of AI misuse.

#ChatGPT #FakeAadhaar #AI #FakeIDs #Trending #Tech #Viral",10,33000,"#ChatGPT, #FakeAadhaar, #AI, #FakeIDs, #Trending, #Tech, #Viral","['ChatGPT', 'Create', 'Fake', 'Aadhaar', 'Cards', 'Watch', 'Naina', '2892', 'decode', 'alarm', 'AI', 'misuse']",0,-0.3612,Negative
12,2025-04-05T02:15:16.000Z,"Hyderabad University Congress government cutting down the forest I request  LOP Rahul Gandhi please action this moment against Revanth Reddy  any how stop it 
@RahulGandhi
 #Trending",0,0,#Trending,"['Hyderabad', 'University', 'Congress', 'government', 'cut', 'forest', 'request', 'LOP', 'Rahul', 'Gandhi', 'action', 'moment', 'Revanth', 'Reddy', 'stop', 'RahulGandhi']",0,-0.1027,Negative
13,2025-04-05T02:07:59.000Z,"'Up to the Government To Make Policy Calls on Such Issues': Supreme Court Refuses To Entertain PIL Seeking Social Media Ban for Children Below 13

https://latestly.com/socially/india/news/up-to-the-government-to-make-policy-calls-on-such-issues-supreme-court-refuses-to-entertain-pil-seeking-social-media-ban-for-children-below-13-6759691.html…

#SocialMediaBan #PIL #SocialMedia #CentralGovernment #SupremeCourt",0,0,"#SocialMediaBan, #PIL, #SocialMedia, #CentralGovernment, #SupremeCourt","['Government', 'Make', 'Policy', 'Calls', 'Issues', 'Supreme', 'Court', 'Refuses', 'Entertain', 'PIL', 'Seeking', 'Social', 'Media', 'Ban', 'Children', '13']",1,0.3182,Positive
14,2025-04-05T02:01:06.000Z,"Tweeting daily untill she 
@MsKajalAggarwal
 replies me 
Day:-60
  #Trending #Viralvideo #mskajalaggarwal #PradaBeautyMYxWin",0,0,"#Trending, #Viralvideo, #mskajalaggarwal, #PradaBeautyMYxWin","['Tweeting', 'daily', 'untill', 'MsKajalAggarwal', 'reply', 'Day', '60']",1,0.0,Neutral
